Strain,ID,Sativa,Indica,Hybrid,Flower,Edible,Liquid,Oil,Wax,Happy,Uplifted (raised spirits),Aroused,Energetic,Creative,Focused (productive),Relaxed (calm and relaxed),Sleepy,Talkative (social),Euphoric,Hungry,Tingly (stimulated),Giggly (good humor),Reduce Stress,Help Depression,Help With Pain,Reduce Fatigue,Help With Headaches,Relieve Muscle Spasms,Lower Eye Pressure,Help With Nausea,Reduce Inflammation,Relieve Cramps,Help With Seizures,Restore Appetite,Help With Insomnia,Anxiety,Dry Mouth,Paranoia,Headache,Dizziness,Dry Eyes,Ammonia,Apple,Apricot,Berry,Blue Cheese,Blueberry,Buttery,Cheese,Chemical,Chestnut,Citrus,Coffee,Diesel,Earthy,Flowery,Grape,Grapefruit,Honey,Lavender,Lemon,Lime,Mango,Menthol,Minty,Nutty,Orange,Peach,Pear,Pepper,Pine,Pineapple,Plum,Pungent,Rose,Sage,Skunk,Spicy/Herbal,Strawberry,Sweet,Tar,Tea,Tobacco,Tree Fruit,Tropical,Vanilla,Violet,Woody,About,,,,,Origins,,,,,,
Nepalese,00011,X,,,X,,,,,5,4,,,5,,4,,,3,,,,4,5,,4,,3,,5,,,,,,,1.9,,0.3,0.5,0.5,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Nepalese refers to any strain that grows natively in the Nepal region. These indigenous varieties (also called landraces) tend to be sativa in growth structure, however, the buds and effects more closely resemble indica varieties. Native Nepalese strains tend to be resinous and hashy in aroma, with buds growing dense toward the top of these sparsely branched plants.",,,,,,,,,,,
Thai,00012,X,,,X,,,,,4,,,5,4,3,2,,,,,,,5,5,5,4,2,,,,,,,,,0.5,1.3,,0.1,0.4,0.4,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,"Thai refers to a cannabis variety that grows natively in Thailand and was brought to the U.S. in the 70s and 80s. This pure sativa landrace is sometimes called ""Thai Sticks"" because of the way its buds are traditionally dried and tied into long sticks. This original Thai variety has given rise to many strains we commonly see on the market today, including Voodoo, Juicy Fruit, and the classic Haze. Thai induces powerful but comfortable effects and has a distinct fruity, citrus aroma. This strain is a challenge for growers outside tropical climates, but greenhouse gardens make this grow possible for experts patient enough for Thai's long growth cycle and slow flowering. ",,,,,,,,,,,
Acapulco Gold,00013,X,,,X,,,,,5,5,,,4,,4,,,4,,,,5,5,4,3,,,,,2,,,,,,2.3,0.3,0.1,0.1,1.8,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,"One of the most well-known strains, Acapulco Gold has been likened to dinner at a five-star restaurant. The strain conmes from the areas in and around Acapulco, Mexico. Its orange hairs resemble a gold nugget, with gold, green and brown colors of resin collecting on the buds. An aroma of burnt toffee lingers when the bud is broken up. Acapulco Gold has a reputation for being one of the best cannabis strains ever created, and is becoming more difficult to find due to more growers moving indoors. ",,,,,Mexican,,,,,,
Colombian Gold,00014,X,,,X,,,,,4,4,,4,5,,,,,6,,,,5,4,3,2,3,,,,,,,,,,2.3,0.3,,,0.6,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,South American,,,,,,
Bubble Gum,00015,,,X,X,,,,,5,5,,,,,5,,,5,3,,,5,5,4,,2,,,,,,,,3,,2.3,0.2,0.2,0.6,1.6,,,,2,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
Mexican,00016,X,,,X,,,,,,5,,,,,4,4,,,3,,,4,4,3,,,,,,,,,,5,,2.3,,0.2,,2.4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,,,,,,,,,,,,
South American,00017,X,,,X,,,,,6,4,,6,3,,,,,3,,,,2,4,,3,3,5,,,,,,,,0.7,1.8,1.6,,2.1,1.8,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
A-Train,00018,,,X,X,,,,,3,4,,5,,,,,,5,,,4,5,5,4,,,3,,,,,,3,,1.9,1.4,0.5,0.3,,0.5,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,1,,,,,,,,,X,,,,,,,,,,,,,,"Mazar I Sharif,
Trainwreck",,,,,,
Mazar I Sharif,00019,,X,,X,,,,,5,,,,4,,5,4,,,4,,,4,4,5,,,,,,,,,5,5,0.1,2.5,0.2,,0.3,1.5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,3,,,,,,Afghani,,,,,,
Trainwreck,00020,,,X,X,,,,,5,4,,,3,,4,,,4,,,,5,4,4,,,,,,,,,2,3,,1.5,0.3,0.2,0.5,1.3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,"Mexican,
Thai,
Afghani",,,,,,
