Strain,ID,Sativa,Indica,Hybrid,Flower,Edible,Liquid,Oil,Wax,Happy,Uplifted (raised spirits),Aroused,Energetic,Creative,Focused (productive),Relaxed (calm and relaxed),Sleepy,Talkative (social),Euphoric,Hungry,Tingly (stimulated),Giggly (good humor),Reduce Stress,Help Depression,Help With Pain,Reduce Fatigue,Help With Headaches,Relieve Muscle Spasms,Lower Eye Pressure,Help With Nausea,Reduce Inflammation,Relieve Cramps,Help With Seizures,Restore Appetite,Help With Insomnia,Anxiety,Dry Mouth,Paranoia,Headache,Dizziness,Dry Eyes,Ammonia,Apple,Apricot,Berry,Blue Cheese,Blueberry,Buttery,Cheese,Chemical,Chestnut,Citrus,Coffee,Diesel,Earthy,Flowery,Grape,Grapefruit,Honey,Lavender,Lemon,Lime,Mango,Menthol,Minty,Nutty,Orange,Peach,Pear,Pepper,Pine,Pineapple,Plum,Pungent,Rose,Sage,Skunk,Spicy/Herbal,Strawberry,Sweet,Tar,Tea,Tobacco,Tree Fruit,Tropical,Vanilla,Violet,Woody,About,Origins
CBD Critical Cure,00441,,X,,X,,,,,3,3,3,,,3,5,,,,,,,5,3,5,,3,,,3,,,,,,,1.5,,2,2,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,3,,,,,,,,,,,Critical Kush
Critical Hog,00442,,X,,X,,,,,5,3,,,,,5,,4,,,,,,4,,,,5,,4,,,,3,4,,1,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,"Critical Mass,
The Hog"
Critical Cheese,00443,,,X,X,,,,,,,,5,,3,5,,5,4,,,,5,4,,3,1,,,,,,,,2,,1.9,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,"Critical Plus,
Cheese"
Critical Widow,00444,,,X,X,,,,,3,4,,3,,,5,,,3,,,,5,3,3,,,,,,3,,,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,"White Widow,
Critical Mass"
Critical 47,00445,,,X,X,,,,,5,,,,1,,5,,,1,,,2,3,3,,,,,,,4,2,,,3,,1.5,,,2,0.9,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,"Critical Mass,
AK-47"
Critical Skunk,00446,,,X,X,,,,,5,4,3,,4,,5,,,,,,,5,4,5,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skunk No. 1,
Afghani"
The Hog,00447,,X,,X,,,,,3,3,,,,,5,5,,3,,,,4,3,4,,3,,,,,,,,5,0.2,2,0.3,,0.5,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,3,,North American Indica
B-52,00448,,X,,X,,,,,3,,,,,,5,5,,,,,,5,1,5,,,,4,,,,,4,,,1,,,,1.9,,,,,,,3,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"Big Bud,
Skunk No. 1"
B.B. King,00449,,X,,X,,,,,4,,,,,,5,4,,,,4,,,,4,,,4,,4,,,4,,5,,,,,,,,,,1,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blackberry Kush
B4,00450,,,X,X,,,,,4,4,,,,,3,,3,4,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blue Dream,
Chemdawg 4"
Bakerstreet,00451,,X,,X,,,,,4,,,,,,4,,,5,,4,5,,3,5,,4,,,,,,,3,3,,3,,,,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,Hindu Kush
Balmoral,00452,,,X,X,,,,,4,4,,,,,5,,,3,,,,4,4,3,,,3,,,3,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skunk No. 1
Bananas,00453,,,X,X,,,,,4,4,,,,,5,,,3,,,3,4,4,2,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,
Bandana,00454,,,X,X,,,,,3,3,,,,,3,2,,5,,,,4,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,,"707 Headband,
Banana OG"
Barbara Bud,00455,,X,,X,,,,,4,4,,,,,5,5,,,4,,,5,,4,,,,,3,,,,3,4,0.2,1.5,,0.2,1.1,0.9,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,"Shishkaberry,
Afghani"
Bay 11,00456,X,,,X,,,,,4,5,,5,3,5,,,,,,,,4,4,4,4,,,,,,,,3,,,0.9,0.7,,,0.7,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,Appalachia
Bay Dream,00457,X,,,X,,,,,5,3,,3,,,5,,,4,,,,4,5,3,,3,,,,,,,3,,0.1,2.7,0.4,,0.2,1.2,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
BC Big Bud,00458,,,X,X,,,,,5,3,3,,,,5,,,4,,,,5,,5,,,,3,,,,,3,3,0.8,2.5,0.8,,0.2,2.4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,Big Bud
BC Roadkill,00459,,,X,X,,,,,5,4,,,,4,4,,,,5,,,4,4,,4,,,,5,,,,4,,1.7,3,2,,0.3,0.7,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,"Deep Chunk,
Skunk No. 1"
BC Sweet Tooth,00460,,X,,X,,,,,3,3,,,5,,5,5,,,,,,5,,4,,,,,,4,,,4,5,,4,0.1,0.1,0.1,3.9,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,Sweet Tooth
Beastmode 2.0,00461,,X,,X,,,,,5,4,,,,,5,,,,4,3,,,4,,,,4,,,4,,,5,5,,,,,,,,,,1,,,,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"White Fire OG,
Master Kush"
Beastmode OG,00462,,,X,X,,,,,4,4,,,1,,5,,,1,,,,2,,2,1,,,,1,,,,1,,,1,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,OG Kush
Bedica,00463,,X,,X,,,,,5,3,,,3,3,4,,,,,,,2,,5,1,,,,,3,,,,3,,2.8,,1.1,2.8,2.8,,,,,3,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Belladonna,00464,,,X,X,,,,,5,5,,,5,,4,,,5,,,,3,,5,4,3,,3,,,,,,,0.8,1.3,1.3,,0.5,0.5,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,Super Skunk
Berkeley,00465,X,,,X,,,,,,3,,,3,,,,,,,5,3,3,3,,,3,,,5,,,,3,,2.9,0.2,2.8,2.8,,0.2,2,,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berry Bomb,00466,,,X,X,,,,,5,,,,2,,5,,,3,,,,5,3,,,,,,1,,,,2,4,2.3,2,0.5,,1.5,2,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,Blueberry
Berry Noir,00467,,X,,X,,,,,,,,,,2,5,4,,4,3,,,5,,,,,2,,2,2,,,,2,,,,,,,3,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Girl Scout Cookies,
Platinum OG,
Blackberry"
Berry OG,00468,,,X,X,,,,,4,,,3,,,5,,,5,,,3,5,4,2,,,,,1,,,,,2,,0.7,,,,0.5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,2,,,,,,,,,,"OG Kush,
Blueberry"
Berry White,00469,,X,,X,,,,,5,4,,,,3,5,,,4,,,,4,3,3,,,,,2,,,,,3,0.1,1.6,0.4,,0.2,0.6,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,"Blueberry,
White Widow"
Bettie Page,00470,,,X,X,,,,,,5,,,2,,2,,5,,,,4,5,1,5,,,5,,,,,,,,,,,,,,,,,2,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhang 007 OG,00471,,X,,X,,,,,,3,,,,,5,3,,3,3,,,3,,,,3,,,3,,,,,3,,,,,,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
Bhang 707 Headband,00472,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707 Headband
Bhang Afghan Kush,00473,,X,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Afghan Kush
Bhang Afghooey,00474,,X,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Afghooey
Bhang Afgoo,00475,,X,,X,,,,,,,1,,1,,3,,,,,3,,,3,3,2,,,,,,,,2,2,,2,,,,,,,,,,,,,2,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Afgoo
Bhang AK-47,00476,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AK-47
Bhang Alien OG,00477,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alien OG
Bhang Aloha,00478,X,,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aloha
Champagne Kush,00479,,,X,X,,,,,5,4,,,,,3,,3,5,,,,5,4,3,3,,,,,,,,2,,0.5,1.3,,0.4,0.6,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,"Hash Plant,
Burmese Kush"
Bhang Black Domina,00480,,X,,X,,,,,,,,,,,5,5,,,,2,,5,3,,3,,,,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Domina
Charlotte's Web,00481,X,,,X,,,,,5,4,,,3,3,5,,,,,,,5,5,5,,3,4,,,,,,,,0.7,2,0.5,0.6,1,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
Bhang Blackberry Kush,00482,,X,,X,,,,,2,2,,,,5,5,,,,,5,,4,,3,3,3,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blackberry Kush
Bhang Blue Diesel,00483,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blue Diesel
Bhang Bubba Kush,00484,,X,,X,,,,,3,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bubba Kush
Bhang Bubble Gum,00485,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bubble Gum
Bhang Cali Orange,00486,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,California Orange
Bhang Casey Jones,00487,X,,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,Casey Jones
Bhang Charlie Sheen,00488,,,X,X,,,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,Charlie Sheen
Bhang Cheese,00489,,,X,X,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cheese
Chem Crush,00490,,,X,X,,,,,1,,,,1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,3,,,,,,,,,,,,Orange Crush
Bhang Cherry Kola,00491,,X,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cherry Kola
Bhang Cherry Pie,00492,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cherry Pie
Bhang Chiesel,00493,X,,,X,,,,,4,4,,,,,,,,,,,,,4,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chiesel
Chem Jong III,00494,,,X,X,,,,,5,5,,3,5,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chemdawg 4
Bhang Chocolope,00495,X,,,X,,,,,5,5,,3,,,,,3,,,,3,3,5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,Chocolope
Bhang Colombian Gold,00496,X,,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colombian Gold
Bhang Darth Vader OG,00497,,X,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darth Vader OG
Bhang Diamond OG,00498,,X,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond OG
Bhang Durban Poison,00499,X,,,X,,,,,5,3,,,,,3,,,,3,,2,3,3,,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,Durban Poison
Bhang Earth OG,00500,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earth OG
Bhang Fire OG,00501,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire OG
Bhang Girl Scout Cookies,00502,,,X,X,,,,,4,1,1,,,,5,,,1,,,,4,4,4,,,,,,3,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,3,,Girl Scout Cookies
Bhang Granddaddy Purple,00503,,X,,X,,,,,4,,4,,,,,2,,3,3,,,4,,3,,2,,,3,,,2,,,,1.1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,Granddaddy Purple
Bhang Grape Ape,00504,,X,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grape Ape
Bhang Green Crack,00505,X,,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Green Crack
Bhang Harlequin,00506,X,,,X,,,,,2,,,,,3,5,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,Harlequin
Bhang Headband,00507,,,X,X,,,,,4,3,,,,,3,,,,,,,3,4,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Headband
Bhang Holy Grail,00508,,,X,X,,,,,4,,,,,,,,,4,3,,,4,,3,,,3,,,,,,4,,,1.5,,,,1.5,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,Holy Grail Kush
Bhang Humboldt Reserve,00509,,X,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhang J-1,00510,,,X,X,,,,,5,5,,5,4,5,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,J1
Bhang Jack Frost,00511,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jack Frost
Bhang Jack Herer,00512,X,,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,Jack Herer
Bhang Juicy Fruit,00513,,,X,X,,,,,2,,,2,2,,5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,Juicy Fruit
Bhang Jupiter OG,00514,,X,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jupiter OG
Bhang King's Kush,00515,,X,,X,,,,,,5,,,,,5,,,,,,,,3,3,,,3,,,,,,4,,,1.9,,,1.9,1.9,,,,1,,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,King's Kush
Bhang LA Confidential,00516,,X,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA Confidential
Bhang Lamb's Bread,00517,X,,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lamb's Bread
Headband,00518,,,X,X,,,,,5,4,,,3,,5,,,5,,,,4,4,3,,3,,,,,,,,2,,1.7,0.4,0.4,0.5,1.3,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,"OG Kush,
Sour Diesel"
Bhang Lemon Diesel,00519,,,X,X,,,,,,4,,,4,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lemon Diesel
Bhang Lemon Skunk,00520,,,X,X,,,,,,3,,,3,,5,,,,5,,,4,5,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lemon Skunk
Bhang Mango OG,00521,,X,,X,,,,,5,3,,,3,,4,,,,,,,3,5,,1,,,,4,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,3,,,,,,,,,,
Bhang Master Kush,00522,,X,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Master Kush
Bhang Maui Waui,00523,X,,,X,,,,,4,,,4,5,,4,,,,,,,,5,,5,5,,,,,5,,4,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,Maui Wowie
Bhang Mercury OG,00524,,X,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mercury OG
Bhang MK Kultra,00525,,X,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MK Ultra
Bhang Mr. Nice,00526,,X,,X,,,,,5,,,,,,4,,,5,,3,5,5,5,5,,,5,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,Mr. Nice
Bhang Neptune OG,00527,,X,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neptune OG
Bhang Northern Lights,00528,,X,,X,,,,,5,3,,,2,,4,,,3,,,,5,3,,,,3,,,,,,3,5,,1.8,,,,1.8,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,3,,Northern Lights
Bhang OG Kush,00529,,,X,X,,,,,5,,,,,,,,,5,,,,5,4,,,,,,,,,,,,,2.4,,,2.5,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OG Kush
Bhang Ogre,00530,,X,,X,,,,,,,5,,,,,,,4,,,,,4,,3,3,,,,,,,2,2,,2,,,2,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ogre
Bhang Panama Red,00531,X,,,X,,,,,,,,5,5,5,5,,,5,,,,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Panama Red
Bhang Perfecto Hybrid,00532,,,X,X,,,,,4,5,,,,,5,,,3,,3,,,3,3,,,,,3,,,,3,4,,,,,,,,,,,,,,,,,1,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhang Perfecto Indica,00533,,X,,X,,,,,4,3,,,,3,4,,,3,,,,3,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
Bhang Perfecto Sativa,00534,X,,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhang Pineapple Express,00535,,,X,X,,,,,5,,,,,4,5,,,,4,,4,5,5,,,,5,,5,,,5,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,3,,,,,Pineapple Express
Platinum OG,00536,,X,,X,,,,,4,,,,,,5,3,,3,,,,5,3,4,,,,,,,,,2,4,0.1,1.4,0.2,,0.6,0.9,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,2,,,,,,,,,,,,,,,,"Master Kush,
OG Kush"
Bhang Platinum OG,00537,,X,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platinum OG
Bhang Purple AK-47,00538,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Purple Ak-47
Bhang Purple Diesel,00539,,,X,X,,,,,3,,,,,3,4,,,3,,,,2,2,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Purple Diesel
Bhang Purple Erkle,00540,,X,,X,,,,,4,,3,,,,3,,,4,,,,,,,2,2,,,,1,2,,,1,1,,,,,,,,,1,,,,,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Purple Urkle
Bhang Purple Kush,00541,,X,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Purple Kush
Bhang Purple Nepal,00542,,X,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Purple Nepal
Bhang Romulan,00543,,X,,X,,,,,5,,,,,,5,5,,,5,,,5,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Romulan
Bhang Seattle Blue,00544,,X,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seattle Blue
Bhang Shark Shock,00545,,X,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shark Shock
Bhang Skunk No. 1,00546,,,X,X,,,,,5,,,,,,,,,5,4,,,,,,3,,,,,,,,,,,2.5,,,,2,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,Skunk No. 1
Bhang Skywalker OG,00547,,,X,X,,,,,,,5,5,5,,,,,4,,,,,5,4,,,4,,4,4,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skywalker OG
Bhang Sour Diesel,00548,X,,,X,,,,,5,4,,4,,5,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,Sour Diesel
Bhang Sour OG,00549,,,X,X,,,,,5,5,,,,3,,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,Sour OG
Bhang Super Skunk,00550,,X,,X,,,,,5,,,,,,5,,5,,,5,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,Super Skunk
Bhang Super Sour Diesel,00551,X,,,X,,,,,5,,,5,5,5,,,,,,,4,3,5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Super Sour Diesel
